BookName,Title,Author,ImageBook,CategoryId,ISBN,PublishedDate
"Nick Carter, Detective","Nick Carter, Detective",John Russell Coryell,http://books.google.com/books/content?id=I2TLLX20xKQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Detective and mystery stories,,1891
IronPython in Action,IronPython in Action,Michael J. Foord,http://books.google.com/books/content?id=wu4pAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,,2009
The British Herpetological Society Bulletin,The British Herpetological Society Bulletin,,http://books.google.com/books/content?id=6qAjAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Amphibians,,1991
C/C++ Users Journal,C/C++ Users Journal,,http://books.google.com/books/content?id=lnRVAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,C (Computer program language),,2003
"PYTHON DATA SCIENCE From Beginner to Experts About Techniques of Data Mining, Big Data Analytics and Science, Python Programming and How to Use Them in Business","PYTHON DATA SCIENCE From Beginner to Experts About Techniques of Data Mining, Big Data Analytics and Science, Python Programming and How to Use Them in Business",Python School,http://books.google.com/books/content?id=hz90zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,1802939873,2021-05-17
"The Popular Encyclopedia; Or, ""Conversations Lexicon;"" Being a General Dictionary of Arts, Sciences, Literature, Biography, and History. With ... Illustrations","The Popular Encyclopedia; Or, ""Conversations Lexicon;"" Being a General Dictionary of Arts, Sciences, Literature, Biography, and History. With ... Illustrations",Encyclopaedias,http://books.google.com/books/content?id=tKMOS8JX12IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1874
Programming and Problem Solving using Python,Programming and Problem Solving using Python,Anuradha A. Puntambekar,http://books.google.com/books/content?id=bKUbEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9789333223829,2020-12-01
"The Standard Reference Work, for the Home, School and Library ...","The Standard Reference Work, for the Home, School and Library ...",,http://books.google.com/books/content?id=S5xJAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Encyclopedias and dictionaries,,1912
Sys Admin,Sys Admin,,http://books.google.com/books/content?id=mRtAAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Operating systems (Computers),,2004
Python for Developers,Python for Developers,Mohit Raj,http://books.google.com/books/content?id=VxDGDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9788194401872,2019-12-21
"The popular encyclopedia; or, 'Conversations Lexicon': [ed. by A. Whitelaw from the Encyclopedia Americana].","The popular encyclopedia; or, 'Conversations Lexicon': [ed. by A. Whitelaw from the Encyclopedia Americana].",Popular encyclopedia,http://books.google.com/books/content?id=68LpFwitupEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1884
The Vivarium,The Vivarium,,http://books.google.com/books/content?id=XyYlAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Herpetology,,1994
A Grammar of Chichewa,A Grammar of Chichewa,"Clement Manly Woodard, Dorothy May Paschall, Ernest Faber Haden, Frank Pierce Jones, Isidore Dyen, Jessie May Glenn, Margaret Whilldin Herr, Mark Hanna Watkins, Moshé Berkooz",http://books.google.com/books/content?id=Ob2EAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Akkadian language,,1937
Learn to Program with Python 3,Learn to Program with Python 3,Irv Kalb,http://books.google.com/books/content?id=spNqDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781484238790,2018-08-22
The Encyclopædia Britannica: Poll-Reeves,The Encyclopædia Britannica: Poll-Reeves,,http://books.google.com/books/content?id=WdLEXIQCRiUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Encyclopedias and dictionaries,,1911
Grzimek's Animal Life Encyclopedia,Grzimek's Animal Life Encyclopedia,Bernhard Grzimek,http://books.google.com/books/content?id=oHMpAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Nature,0787657832,2003
The Encyclopaedia Britannica: Pay to Ree,The Encyclopaedia Britannica: Pay to Ree,,http://books.google.com/books/content?id=gPrk-rQVaT0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Encyclopedias and dictionaries,,1911
The Encyclopaedia Britannica,The Encyclopaedia Britannica,,http://books.google.com/books/content?id=QhK7un8Od2kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1911
The Encyclopædia Britannica,The Encyclopædia Britannica,,http://books.google.com/books/content?id=QvLe6yulIzYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Encyclopedias and dictionaries,,1911
Encyclopedia Britannica,Encyclopedia Britannica,Hugh Chisholm,http://books.google.com/books/content?id=DhBTAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Encyclopedias and dictionaries,,1911
Programming Python,Programming Python,Mark Lutz,http://books.google.com/books/content?id=c8pV-TzyfBUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,0596000855,2001
Technology of Object-oriented Languages and Systems : TOOLS 23,Technology of Object-oriented Languages and Systems : TOOLS 23,"Raimund K. Ege, Madhu Singh, Bertrand Meyer",http://books.google.com/books/content?id=zJAhAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,,1998
The Encyclopaedia Britannica: Poll-Reeves,The Encyclopaedia Britannica: Poll-Reeves,,http://books.google.com/books/content?id=KTMXwRP2L5kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Encyclopedias and dictionaries,,1911
Moore's Monthly Magazine,Moore's Monthly Magazine,,http://books.google.com/books/content?id=HenNAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Locomotives,,1921
"The Locomotive, Railway Carriage & Wagon Review","The Locomotive, Railway Carriage & Wagon Review",,http://books.google.com/books/content?id=8NNJAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Locomotives,,1921
"Inventory of Live Reptiles and Amphibians in Captivity, Current January 1, 1985","Inventory of Live Reptiles and Amphibians in Captivity, Current January 1, 1985",Frank L. Slavens,http://books.google.com/books/content?id=yqwKAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Amphibians,,1985
Snakes,Snakes,Mervin F. Roberts,http://books.google.com/books/content?id=9zgfENgpYpgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Nature,0866227849,1990-04
From Fringe to Flying Circus,From Fringe to Flying Circus,Roger Wilmut,http://books.google.com/books/content?id=PzxaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Biography & Autobiography,,1980
The new testament of our Lord and Saviour Jesus Christ,The new testament of our Lord and Saviour Jesus Christ,,http://books.google.com/books/content?id=7W92uEHZZMkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Bible,,1877
The Sabbath Recorder,The Sabbath Recorder,,http://books.google.com/books/content?id=r60gCUWw63UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Baptists,,1903
The Python Quick Syntax Reference,The Python Quick Syntax Reference,Gregory Walters,http://books.google.com/books/content?id=dJ4QAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781430264798,2014-02-28
Astronomical Data Analysis Software and Systems VIII,Astronomical Data Analysis Software and Systems VIII,"David M. Mehringer, Raymond L. Plante, Douglas A. Roberts",http://books.google.com/books/content?id=uu4UAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Astronomy,0874805724,1999
Index-catalogue of Medical and Veterinary Zoology. Supplement 1-,Index-catalogue of Medical and Veterinary Zoology. Supplement 1-,United States. Bureau of Animal Industry. Zoological Division,http://books.google.com/books/content?id=-yEaOSChpkEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Parasites,,1953
Scientific American,Scientific American,,http://books.google.com/books/content?id=nfQ7AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Science,,1932
The Treasury of Natural History,The Treasury of Natural History,Samuel Maunder,http://books.google.com/books/content?id=QPBEAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Zoology,,1885
The Encyclopaedia Britannica,The Encyclopaedia Britannica,Hugh Chisholm,http://books.google.com/books/content?id=q0MOAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Encyclopedias and dictionaries,,1911
CODING FOR BEGINNERS USING PYTHON,CODING FOR BEGINNERS USING PYTHON,"Mark Matthes, Eric Lutz",http://books.google.com/books/content?id=XuAsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,
The Encyclopaedia Britannica,The Encyclopaedia Britannica,Hugh Chrisholm,http://books.google.com/books/content?id=Wto9AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Encyclopedias and dictionaries,,1911
Python and SQL Server Development,Python and SQL Server Development,Agus Kurniawan,http://books.google.com/books/content?id=-oWXDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,
Fluent Python,Fluent Python,Luciano Ramalho,http://books.google.com/books/content?id=ICdnEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781492056324,2022-03-31
The Encyclopedia Britannica,The Encyclopedia Britannica,,http://books.google.com/books/content?id=imzQwjVwxXYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Encyclopedias and dictionaries,,1911
Python for Data Analysis How The Python Coding Is Revolutionizing Computer Programming Language and What You Need to Know About It Right NOW with A Python Crash Course Explained for Beginners,Python for Data Analysis How The Python Coding Is Revolutionizing Computer Programming Language and What You Need to Know About It Right NOW with A Python Crash Course Explained for Beginners,Python School,http://books.google.com/books/content?id=KORzzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,1802939857,2021-05-12
A New English Dictionary on Historical Principles,A New English Dictionary on Historical Principles,"James Augustus Henry Murray, Sir William Alexander Craigie, Charles Talbut Onions",http://books.google.com/books/content?id=tVWWuuP8UJEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,English language,,1909
Python Essential Reference,Python Essential Reference,David M. Beazley,http://books.google.com/books/content?id=Chr1NDlUcI8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9780672329784,2009
Learn Python,Learn Python,Damon Parker,http://books.google.com/books/content?id=tQwzEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,2021-06-12
Learn Python 3 the Hard Way,Learn Python 3 the Hard Way,Zed A. Shaw,http://books.google.com/books/content?id=93YpDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9780134693903,2017-06-26
Game Development Using Python,Game Development Using Python,James R. Parker,http://books.google.com/books/content?id=apMUEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781683926252,2021-01-13
"Cassell's natural history, ed. by P.M. Duncan. People's ed","Cassell's natural history, ed. by P.M. Duncan. People's ed",Cassell Ltd,http://books.google.com/books/content?id=7pZj-AW5bQwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1901
18-month Report - National Zoological Park,18-month Report - National Zoological Park,National Zoological Park (U.S.),http://books.google.com/books/content?id=lXo2AQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Zoos,,1921
An Introduction to Python,An Introduction to Python,"Guido Van Rossum, Fred L. Drake",http://books.google.com/books/content?id=sWAOAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,0954161769,2003
"List of the Vertebrated Animals Exhibited in the Gardens of the Zoological Society of London, 1828-1927","List of the Vertebrated Animals Exhibited in the Gardens of the Zoological Society of London, 1828-1927","London Zoo (London, England), Zoological Society of London. Gardens",http://books.google.com/books/content?id=IQeBjZ--3doC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"London Zoo (London, England)",,1929
American Anthropologist,American Anthropologist,,http://books.google.com/books/content?id=D1EWAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Anthropology,,1929
Shooting and Fishing,Shooting and Fishing,,http://books.google.com/books/content?id=VZcwAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Firearms,,1916
Arms and the Man,Arms and the Man,,http://books.google.com/books/content?id=C1IZAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1916
The Encyclopedia Americana,The Encyclopedia Americana,,http://books.google.com/books/content?id=nnMxAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Encyclopedias and dictionaries,,1998
Encyclopedia Americana: Pumps to Russell,Encyclopedia Americana: Pumps to Russell,,http://books.google.com/books/content?id=bftGAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Encyclopedias and dictionaries,,2005
The Spectator,The Spectator,,http://books.google.com/books/content?id=yTnzhaLhPmkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,English literature,,1894
Learn More Python 3 the Hard Way,Learn More Python 3 the Hard Way,Zed A. Shaw,http://books.google.com/books/content?id=uaYzDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9780134123004,2017-09-01
Python Programming on Win32,Python Programming on Win32,"Mark J. Hammond, Andy Robinson",http://books.google.com/books/content?id=fzUCGtyg0MMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781565926219,2000
Learn Python by Building Data Science Applications,Learn Python by Building Data Science Applications,"Philipp Kats, David Katz",http://books.google.com/books/content?id=j6isDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781789533064,2019-08-30
Learning Python with Raspberry Pi,Learning Python with Raspberry Pi,"Alex Bradbury, Ben Everard",http://books.google.com/books/content?id=BP_WAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781118717059,2014-03-10
Machine Learning with Python,Machine Learning with Python,"Tarkeshwar Barua, Kamal Kant Hiran, Ritesh Kumar Jain, Ruchi Doshi",http://books.google.com/books/content?id=fSU7EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9783110697254,2024-09-03
PYTHON FOR BEGINNERS,PYTHON FOR BEGINNERS,"Mark Matthes, Eric Lutz",http://books.google.com/books/content?id=oOAsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,
Python,Python,Charlie Masterson,http://books.google.com/books/content?id=uQkznQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,1542640628,2017-01-18
Python for Beginners,Python for Beginners,"Kuldeep Singh Kaswan, Jagjit Singh Dhatterwal, B Balamurugan",http://books.google.com/books/content?id=eyKuEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781000473476,2023-03-17
Journal of the Bombay Natural History Society,Journal of the Bombay Natural History Society,Bombay Natural History Society,http://books.google.com/books/content?id=h3UeAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Natural history,,1927
The Journal of the Bombay Natural History Society,The Journal of the Bombay Natural History Society,,http://books.google.com/books/content?id=rp4Z9vh9x8IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Natural history,,1929
Crispin,Crispin,,http://books.google.com/books/content?id=hWfIdtOwLRoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,1924
Learn Python Programming,Learn Python Programming,"Fabrizio Romano, Heinrich Kruger",http://books.google.com/books/content?id=aCU0EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781835882955,2024-11-29
Python for Data Analysis,Python for Data Analysis,Wes McKinney,http://books.google.com/books/content?id=UWlo-c4WEpAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781449319793,2013
Modern Python Cookbook,Modern Python Cookbook,Steven F. Lott,http://books.google.com/books/content?id=2_30DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781800205802,2020-07-31
Python for Teenagers,Python for Teenagers,James R. Payne,http://books.google.com/books/content?id=acOWDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781484245507,2019-05-07
Blockbuster Video Guide to Movies and Videos 1995,Blockbuster Video Guide to Movies and Videos 1995,Blockbuster Entertainment,http://books.google.com/books/content?id=gBtFE92NTK0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Performing Arts,0440217660,1994-09
Harper's Weekly,Harper's Weekly,"John Bonner, George William Curtis, Henry Mills Alden, Samuel Stillman Conant, Montgomery Schuyler, John Foord, Richard Harding Davis, Carl Schurz, Henry Loomis Nelson, John Kendrick Bangs, George Brinton McClellan Harvey, Norman Hapgood",http://books.google.com/books/content?id=CsKwthCzilMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,United States,,1871
"The Scots Guards in the Great War, 1914-1918","The Scots Guards in the Great War, 1914-1918","Francis Loraine Petre, Wilfrid Ewart, Sir Cecil Lowther, Sir Henry Cecil Lowther",http://books.google.com/books/content?id=dMABAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"World War, 1914-1918",,1925
Statement by the Secretary,Statement by the Secretary,Smithsonian Institution,http://books.google.com/books/content?id=xOqty5pmAf8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,1929
Report of the Secretary of the Smithsonian Institution,Report of the Secretary of the Smithsonian Institution,Smithsonian Institution,http://books.google.com/books/content?id=HM4NAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,1927
On the Trail of the Bushongo,On the Trail of the Bushongo,Emil Torday,http://books.google.com/books/content?id=cMVBAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Africa,,1925
The Industrial School Journal,The Industrial School Journal,,http://books.google.com/books/content?id=qVRLAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Reformatories,,1925
The Sketch,The Sketch,,http://books.google.com/books/content?id=5Io4AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,1914
The the Python Workshop,The the Python Workshop,"Andrew Bird, Lau Cher Han, Mario Corchero Jiménez",http://books.google.com/books/content?id=zV3HywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Python (Computer program language),1839218851,2019-11-04
Learn Python Programming for Beginners,Learn Python Programming for Beginners,Jason Scratch,http://books.google.com/books/content?id=YRSyzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,9798669102517,2020-07-24
Python Programming,Python Programming,Ryan Turner,http://books.google.com/books/content?id=nLBSzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,1647710685,2020-02-09
The Art of Clean Code: Best Practices for Agile Software Development,The Art of Clean Code: Best Practices for Agile Software Development,Ishaan Kumar,http://books.google.com/books/content?id=N3UKEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,2024-05-27
The Art of Clean Code,The Art of Clean Code,Christian Mayer,http://books.google.com/books/content?id=9UpTEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781718502185,2022-08-02
Clean Code,Clean Code,Robert C. Martin,http://books.google.com/books/content?id=_i6bDeoCQzsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9780136083252,2008-08-01
Mastering the Principles of 'Clean Code’,Mastering the Principles of 'Clean Code’,Diego Rodrigues,http://books.google.com/books/content?id=kxJCEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,,2025-01-26
Clean Code in PHP,Clean Code in PHP,"Carsten Windler, Alexandre Daubois",http://books.google.com/books/content?id=iiGUEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781804618752,2022-10-31
Clean Code Cookbook,Clean Code Cookbook,Maximiliano Contieri,http://books.google.com/books/content?id=KZrWEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781098144685,2023-09-11
Clean Code Practices,Clean Code Practices,"Zoe Codewell, AI",http://books.google.com/books/content?id=HiBAEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9788233946661,2025-01-13
Clean Code in JavaScript,Clean Code in JavaScript,James Padolsey,http://books.google.com/books/content?id=DprLDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781789957297,2020-01-20
CLEAN CODE IN PYTHON,CLEAN CODE IN PYTHON,Diego Rodrigues,http://books.google.com/books/content?id=pCVDEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,,2025-02-01
Clean Code in Python,Clean Code in Python,Mariano Anaya,http://books.google.com/books/content?id=UbQSEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781800562097,2021-01-06
Clean Code in C#,Clean Code in C#,Jason Alls,http://books.google.com/books/content?id=2TfyDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781838985691,2020-07-17
Clean Code with C#,Clean Code with C#,Jason Alls,http://books.google.com/books/content?id=1HjqEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781837632992,2023-12-22
Crafting Clean Code with JavaScript and React,Crafting Clean Code with JavaScript and React,Héla Ben Khalfallah,http://books.google.com/books/content?id=7bsyEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9798868810046,2024-11-20
Code to Creation: The Comprehensive Guide to Modern Software Development,Code to Creation: The Comprehensive Guide to Modern Software Development,Abdul Alim Chowdhury,http://books.google.com/books/content?id=9csrEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,2024-10-23
Product-Focused Software Process Improvement,Product-Focused Software Process Improvement,"Davide Taibi, Marco Kuhrmann, Tommi Mikkonen, Jil Klünder, Pekka Abrahamsson",http://books.google.com/books/content?id=6NabEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9783031213885,2022-11-13
Software Testing Automation,Software Testing Automation,Saeed Parsa,http://books.google.com/books/content?id=gKu1EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9783031220579,2023-03-24
Learn CakePHP,Learn CakePHP,Rādhārādhya Dāsa,http://books.google.com/books/content?id=2yDkDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781484212127,2016-08-22
"Software Engineering and Computer Systems, Part III","Software Engineering and Computer Systems, Part III","Jasni Mohamad Zain, Wan Maseri Wan Mohd, Eyas El-Qawasmeh",http://books.google.com/books/content?id=TVXqZ0UD2FQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9783642222023,2011-06-22
Robust Python,Robust Python,Patrick Viafore,http://books.google.com/books/content?id=mu43EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781098100636,2021-07-12
VB.NET Developer's Library,VB.NET Developer's Library,Pasquale De Marco,http://books.google.com/books/content?id=rj5VEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Technology & Engineering,,2025-04-11
Refactoring in Java,Refactoring in Java,Stefano Violetta,http://books.google.com/books/content?id=uTvrEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781805127789,2023-12-29
DevOps Tools for Java Developers,DevOps Tools for Java Developers,"Stephen Chin, Melissa McKay, Ixchel Ruiz, Baruch Sadogursky",http://books.google.com/books/content?id=DTNrEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781492083993,2022-04-15
CakePHP Unit Testing,CakePHP Unit Testing,rrd,http://books.google.com/books/content?id=YZWsK-58eRAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9789630869201,2013-04-15
Real-World Solutions for Developing High-Quality PHP Frameworks and Applications,Real-World Solutions for Developing High-Quality PHP Frameworks and Applications,"Sebastian Bergmann, Stefan Priebsch",http://books.google.com/books/content?id=K5dYi2HfAOYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781118098240,2011-04-18
Learn C# Programming by Creating Games with Unity (Beginner),Learn C# Programming by Creating Games with Unity (Beginner),Patrick Felicia,http://books.google.com/books/content?id=AAYaEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,2024-08-15
Effective Coding with VHDL,Effective Coding with VHDL,Ricardo Jasinski,http://books.google.com/books/content?id=DCMeDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9780262034227,2016-05-27
Search Engine Optimization All-in-One For Dummies,Search Engine Optimization All-in-One For Dummies,"Bruce Clay, Susan Esparza",http://books.google.com/books/content?id=xKlXjdcZ9gQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,9780470495384,2009-04-20
ASP.NET,ASP.NET,Rick Miller,http://books.google.com/books/content?id=p8cYAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781932504101,2014-03-16
Mastering C++ Programming,Mastering C++ Programming,Jeganathan Swaminathan,http://books.google.com/books/content?id=yJlGDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781786461933,2017-09-01
Beginner's Guide to Coding,Beginner's Guide to Coding,Taylor Monroe,http://books.google.com/books/content?id=9ZxSEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9789370640252,2025-03-31
The Journey to Enterprise Agility,The Journey to Enterprise Agility,"Daryl Kulak, Hong Li",http://books.google.com/books/content?id=Uv7MDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,9783319540870,2017-05-05
"We, Programmers","We, Programmers",Robert C. Martin,http://books.google.com/books/content?id=B4s2EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9780135344231,2024-12-05
C# Coding Mastery,C# Coding Mastery,Ryan Campbell,http://books.google.com/books/content?id=dIsHEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,2024-05-13
Software Engineering Exam Preparation,Software Engineering Exam Preparation,Cybellium,http://books.google.com/books/content?id=RGAsEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Study Aids,9781836794639,2024-10-26
"Hello, Startup","Hello, Startup",Yevgeniy Brikman,http://books.google.com/books/content?id=VunJCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,9781491910054,2015-10-21
Guide To Clear Java Developer Interview,Guide To Clear Java Developer Interview,,http://books.google.com/books/content?id=AdVDEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,2025-02-03
React.js Design Patterns,React.js Design Patterns,Anthony Onyekachukwu Okonta,http://books.google.com/books/content?id=UfmpEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9789355513649,2023-01-27
